id,Row,Column,Individual,Percent_Digested,Date,Plate,Absorbance1,Absorbance2,Abs2_1
98,H,2,182,18.06282723,42096,88,0.627,0.765,0.138
99,A,4,192,28.93309222,42096,88,0.394,0.554,0.16
100,B,4,502,28.57142857,42096,88,0.301,0.421,0.12
101,C,4,873,24.66124661,42096,88,0.279,0.37,0.091
102,D,4,133,8.742331288,42096,88,0.596,0.653,0.057
103,E,4,115,21.01449275,42096,88,0.437,0.553,0.116
104,F,4,361,31.10151188,42096,88,0.32,0.464,0.144
105,G,4,986,38.02281369,42096,88,0.327,0.527,0.2
106,H,4,182,10.45918367,42096,88,0.703,0.785,0.082
107,A,8,Tx623,16.79841897,42096,88,0.422,0.507,0.085
108,A,10,P721Q,38.17829457,42096,88,0.32,0.517,0.197
109,G,8,192,32.56410256,42097,89,0.263,0.39,0.127
110,H,8,115,24.40191388,42097,89,0.316,0.418,0.102
111,G,10,192,25.34435262,42097,89,0.271,0.363,0.092
112,H,10,115,21.10091743,42097,89,0.344,0.436,0.092
113,G,12,133,38.42364532,42097,89,0.25,0.406,0.156
114,H,12,133,42.37288136,42097,89,0.204,0.354,0.15
115,A,8,Tx623,13.19648094,42097,89,0.296,0.341,0.045
116,A,10,P721Q,40.85213033,42097,89,0.236,0.399,0.163
117,A,2,126,23.65805169,42009,1,0.384,0.503,0.119
118,B,2,127,22.02643172,42009,1,0.531,0.681,0.15
119,C,2,128,47.11191336,42009,1,0.293,0.554,0.261
120,D,2,129,16.98841699,42009,1,0.43,0.518,0.088
121,E,2,130,23.25976231,42009,1,0.452,0.589,0.137
122,F,2,131,15.61264822,42009,1,0.427,0.506,0.079
123,G,2,132,10.60209424,42009,1,0.683,0.764,0.081
124,H,2,133,40,42009,1,0.357,0.595,0.238
125,A,4,126,30.44692737,42009,1,0.498,0.716,0.218
126,B,4,127,43.99141631,42009,1,0.261,0.466,0.205
127,C,4,128,50.84459459,42009,1,0.291,0.592,0.301
128,D,4,129,15.91263651,42009,1,0.539,0.641,0.102
129,E,4,130,32.59259259,42009,1,0.364,0.54,0.176
130,F,4,131,20.77922078,42009,1,0.488,0.616,0.128
131,G,4,132,12.52900232,42009,1,0.754,0.862,0.108
132,H,4,133,43.43434343,42009,1,0.336,0.594,0.258
133,A,6,126,28.98330804,42009,1,0.468,0.659,0.191
134,B,6,127,50.41186161,42009,1,0.301,0.607,0.306
135,C,6,128,43.92361111,42009,1,0.323,0.576,0.253
136,D,6,129,23.02158273,42009,1,0.428,0.556,0.128
137,E,6,130,7.855973813,42009,1,0.563,0.611,0.048
138,F,6,131,26.11464968,42009,1,0.348,0.471,0.123
139,G,6,132,10.34482759,42009,1,0.624,0.696,0.072
140,H,6,133,38.50174216,42009,1,0.353,0.574,0.221
141,A,8,Tx623,15.78249337,42009,1,0.635,0.754,0.119
142,B,8,134,17.54874652,42009,1,0.592,0.718,0.126
143,C,8,135,14.01273885,42009,1,0.81,0.942,0.132
144,D,8,136,42.98245614,42009,1,0.26,0.456,0.196
145,E,8,137,39.69171484,42009,1,0.313,0.519,0.206
146,F,8,138,20.50078247,42009,1,0.508,0.639,0.131
147,G,8,139,49.70178926,42009,1,0.253,0.503,0.25
148,H,8,140,13.51724138,42009,1,0.627,0.725,0.098
149,A,10,P721Q,43.00385109,42009,1,0.444,0.779,0.335
150,B,10,134,26.21247113,42009,1,0.639,0.866,0.227
151,C,10,135,22.11302211,42009,1,0.634,0.814,0.18
152,D,10,136,45.95103578,42009,1,0.287,0.531,0.244
153,E,10,137,43.13043478,42009,1,0.327,0.575,0.248
154,F,10,138,17.85150079,42009,1,0.52,0.633,0.113
155,G,10,139,39.95680346,42009,1,0.278,0.463,0.185
156,H,10,140,19.10739191,42009,1,0.58,0.717,0.137
157,B,12,134,12.6984127,42009,1,0.715,0.819,0.104
158,C,12,135,27.43823147,42009,1,0.558,0.769,0.211
159,D,12,136,33.44651952,42009,1,0.392,0.589,0.197
160,E,12,137,42.36641221,42009,1,0.302,0.524,0.222
161,F,12,138,29.34782609,42009,1,0.455,0.644,0.189
162,G,12,139,17.75067751,42009,1,0.607,0.738,0.131
163,H,12,140,15.0431566,42009,1,0.689,0.811,0.122
164,A,2,141,7.963246554,42016,2,0.602,0.654,0.052
165,B,2,142,16.83899557,42016,2,0.564,0.678,0.114
166,C,2,143,34.54545455,42016,2,0.289,0.441,0.152
167,D,2,144,25.5499154,42016,2,0.441,0.592,0.151
168,E,2,145,37.31778426,42016,2,0.216,0.344,0.128
169,F,2,146,22.8956229,42016,2,0.459,0.595,0.136
170,G,2,147,13.40839304,42016,2,0.847,0.978,0.131
171,H,2,148,21.29032258,42016,2,0.367,0.466,0.099
172,A,4,141,9.873060649,42016,2,0.64,0.71,0.07
173,B,4,142,19.86666667,42016,2,0.602,0.751,0.149
174,C,4,143,34.84162896,42016,2,0.289,0.443,0.154
175,D,4,144,39.08296943,42016,2,0.28,0.459,0.179
176,E,4,145,16.827853,42016,2,0.431,0.518,0.087
177,F,4,146,29.21146953,42016,2,0.396,0.559,0.163
178,G,4,147,19.69230769,42016,2,0.523,0.651,0.128
179,H,4,148,33.03571429,42016,2,0.301,0.449,0.148
180,A,6,141,7.310704961,42016,2,0.711,0.767,0.056
181,B,6,142,19.54602774,42016,2,0.639,0.794,0.155
182,C,6,143,37.41794311,42016,2,0.287,0.458,0.171
183,D,6,144,7.608695652,42016,2,0.681,0.737,0.056
184,E,6,145,11.11111111,42016,2,0.521,0.586,0.065
185,F,6,146,36.84210526,42016,2,0.241,0.381,0.14
186,G,6,147,18.31153389,42016,2,0.688,0.842,0.154
187,H,6,148,26.59758204,42016,2,0.426,0.58,0.154
188,A,8,Tx623,14.30894309,42016,2,0.528,0.616,0.088
189,B,8,149,30.53435115,42016,2,0.183,0.263,0.08
190,C,8,150,19.85815603,42016,2,0.34,0.424,0.084
191,D,8,151,24.73404255,42016,2,0.284,0.377,0.093
192,E,8,152,37.04600484,42016,2,0.261,0.414,0.153
193,F,8,153,16.96891192,42016,2,0.642,0.773,0.131
194,G,8,154,2.901023891,42016,2,0.57,0.587,0.017
195,H,8,155,32.92978208,42016,2,0.278,0.414,0.136
196,A,10,P721Q,40.68322981,42016,2,0.383,0.645,0.262
197,B,10,149,31.15384615,42016,2,0.18,0.261,0.081
198,C,10,150,15.24249423,42016,2,0.368,0.434,0.066
199,D,10,151,30.02680965,42016,2,0.262,0.374,0.112
200,E,10,152,41.33858268,42016,2,0.299,0.509,0.21
201,F,10,153,11.49584488,42016,2,0.64,0.723,0.083
202,G,10,154,11.21351767,42016,2,0.579,0.652,0.073
203,H,10,155,26.43678161,42016,2,0.321,0.436,0.115
204,B,12,149,34.25605536,42016,2,0.191,0.29,0.099
205,C,12,150,5.940594059,42016,2,0.476,0.506,0.03
206,D,12,151,17.36972705,42016,2,0.334,0.404,0.07
207,E,12,152,40.0921659,42016,2,0.261,0.435,0.174
208,F,12,153,21.99453552,42016,2,0.572,0.733,0.161
209,G,12,154,8.785942492,42016,2,0.572,0.627,0.055
210,H,12,155,41.8879056,42016,2,0.198,0.34,0.142
211,A,2,156,12.77641278,42018,3,0.355,0.407,0.052
212,B,2,157,30.59033989,42018,3,0.388,0.559,0.171
213,D,2,159,25.14619883,42018,3,0.256,0.342,0.086
214,E,2,160,19.87767584,42018,3,0.524,0.654,0.13
215,F,2,161,36.61670236,42018,3,0.296,0.467,0.171
216,G,2,162,6.276150628,42018,3,0.896,0.956,0.06
217,H,2,163,10.65693431,42018,3,0.612,0.685,0.073
218,A,4,156,23.65384615,42018,3,0.397,0.52,0.123
219,B,4,157,11.66666667,42018,3,0.583,0.66,0.077
220,C,4,158,8.909090909,42018,3,0.501,0.55,0.049
221,D,4,159,28.72340426,42018,3,0.268,0.376,0.108
222,E,4,160,32.05128205,42018,3,0.371,0.546,0.175
223,F,4,161,33.47107438,42018,3,0.322,0.484,0.162
224,G,4,162,11.60409556,42018,3,0.777,0.879,0.102
225,H,4,163,19.29460581,42018,3,0.389,0.482,0.093
226,A,6,156,26.26262626,42018,3,0.365,0.495,0.13
227,B,6,157,19.18876755,42018,3,0.518,0.641,0.123
228,C,6,158,2.985074627,42018,3,0.715,0.737,0.022
229,D,6,159,25.98870056,42018,3,0.262,0.354,0.092
230,E,6,160,28.6163522,42018,3,0.454,0.636,0.182
231,F,6,161,37.89279113,42018,3,0.336,0.541,0.205
232,G,6,162,4.147465438,42018,3,0.832,0.868,0.036
233,H,6,163,10.71428571,42018,3,0.375,0.42,0.045
234,A,8,Tx623,7.692307692,42018,3,0.624,0.676,0.052
235,B,8,164,7.481559536,42018,3,0.878,0.949,0.071
236,C,8,165,11.82608696,42018,3,0.507,0.575,0.068
237,D,8,166,28.30188679,42018,3,0.38,0.53,0.15
238,E,8,167,26.84766214,42018,3,0.485,0.663,0.178
239,F,8,168,12.04268293,42018,3,0.577,0.656,0.079
240,G,8,169,12.78280543,42018,3,0.771,0.884,0.113
241,H,8,170,30.98591549,42018,3,0.392,0.568,0.176
242,C,10,165,9.012131716,42018,3,0.525,0.577,0.052
243,D,10,166,30.46683047,42018,3,0.283,0.407,0.124
244,E,10,167,20.72289157,42018,3,0.658,0.83,0.172
245,F,10,168,11.72914148,42018,3,0.73,0.827,0.097
246,G,10,169,16.97038724,42018,3,0.729,0.878,0.149
247,H,10,170,25.4789272,42018,3,0.389,0.522,0.133
248,B,12,164,7.802874743,42018,3,0.898,0.974,0.076
249,C,12,165,2.417962003,42018,3,0.565,0.579,0.014
250,D,12,166,19.1011236,42018,3,0.576,0.712,0.136
251,E,12,167,14.14701803,42018,3,0.619,0.721,0.102
252,F,12,168,7.01754386,42018,3,0.636,0.684,0.048
253,G,12,169,18.66197183,42018,3,0.693,0.852,0.159
254,H,12,170,42.65129683,42018,3,0.199,0.347,0.148
255,A,2,171,46.26086957,42021,4,0.155,0.288,0.133
256,B,2,172,9.004329004,42021,4,0.526,0.578,0.052
257,C,2,173,8.350730689,42021,4,0.659,0.719,0.06
258,D,2,174,14.73559121,42021,4,0.718,0.842,0.124
259,E,2,175,32.11267606,42021,4,0.362,0.533,0.171
260,F,2,176,39.0521327,42021,4,0.322,0.528,0.206
261,G,2,177,15.87301587,42021,4,0.769,0.914,0.145
262,H,2,178,23.84401114,42021,4,0.684,0.898,0.214
263,A,4,171,10.49030787,42021,4,0.393,0.439,0.046
264,C,4,173,10.87098887,42021,4,0.681,0.764,0.083
265,D,4,174,3.184386235,42021,4,0.943,0.974,0.031
266,E,4,175,9.436133487,42021,4,0.394,0.435,0.041
267,F,4,176,34.44354184,42021,4,0.404,0.616,0.212
268,G,4,177,15.28455285,42021,4,0.782,0.923,0.141
269,H,4,178,32.38359972,42021,4,0.487,0.72,0.233
270,A,6,171,4.677268475,42021,4,0.51,0.535,0.025
271,B,6,172,12.21674877,42021,4,0.446,0.508,0.062
272,C,6,173,10.96525097,42021,4,0.577,0.648,0.071
273,D,6,174,10.3610675,42021,4,0.857,0.956,0.099
274,E,6,175,8.244491827,42021,4,0.646,0.704,0.058
275,F,6,176,29.97974342,42021,4,0.519,0.741,0.222
276,G,6,177,1.336760925,42021,4,0.96,0.973,0.013
277,H,6,178,15.48456957,42021,4,0.781,0.924,0.143
278,A,8,Tx623,13.34445371,42021,4,0.52,0.6,0.08
279,C,8,180,13.33333333,42021,4,0.592,0.683,0.091
280,D,8,181,37.75700935,42021,4,0.167,0.268,0.101
281,E,8,182,30.202855,42021,4,0.465,0.666,0.201
282,G,8,184,30.98878695,42021,4,0.339,0.491,0.152
283,H,8,185,12.63877028,42021,4,0.512,0.586,0.074
284,A,10,P721Q,13.78751014,42021,4,0.532,0.617,0.085
285,C,10,180,6.397562833,42021,4,0.615,0.657,0.042
286,D,10,181,24.16107383,42021,4,0.17,0.224,0.054
287,E,10,182,28.02436902,42021,4,0.414,0.575,0.161
288,G,10,184,24.13452028,42021,4,0.384,0.506,0.122
289,H,10,185,11.30507066,42021,4,0.534,0.602,0.068
290,B,12,179,7.373271889,42021,4,0.704,0.76,0.056
291,D,12,181,34.31542461,42021,4,0.19,0.289,0.099
292,E,12,182,43.82929642,42021,4,0.244,0.434,0.19
293,F,12,183,15.10272071,42021,4,0.765,0.901,0.136
294,G,12,184,17.79425394,42021,4,0.444,0.54,0.096
295,H,12,185,28.3572767,42021,4,0.574,0.801,0.227
296,A,2,186,47.32510288,42026,5,0.255,0.485,0.23
297,B,2,187,17.96008869,42026,5,0.739,0.901,0.162
298,C,2,188,8.863636364,42026,5,0.801,0.879,0.078
299,D,2,189,26.88927944,42026,5,0.415,0.568,0.153
300,E,2,190,26.20027435,42026,5,0.537,0.728,0.191
301,F,2,191,1.253132832,42026,5,0.787,0.797,0.01
302,G,2,192,32.73703041,42026,5,0.375,0.558,0.183
303,H,2,193,13.51351351,42026,5,0.607,0.702,0.095
304,A,4,186,46.11650485,42026,5,0.221,0.411,0.19
305,B,4,187,13.51010101,42026,5,0.684,0.791,0.107
306,D,4,189,13.19727891,42026,5,0.637,0.734,0.097
307,E,4,190,20.5918619,42026,5,0.643,0.81,0.167
308,F,4,191,3.990326481,42026,5,0.793,0.826,0.033
309,G,4,192,24.18181818,42026,5,0.416,0.549,0.133
310,H,4,193,7.25388601,42026,5,0.715,0.771,0.056
311,A,6,186,47.4801061,42026,5,0.197,0.376,0.179
312,B,6,187,7.258064516,42026,5,0.804,0.867,0.063
313,D,6,189,7.507082153,42026,5,0.652,0.705,0.053
314,E,6,190,20.29147982,42026,5,0.71,0.891,0.181
315,F,6,191,2.423263328,42026,5,0.603,0.618,0.015
316,G,6,192,29.36170213,42026,5,0.331,0.469,0.138
317,H,6,193,2.972972973,42026,5,0.717,0.739,0.022
318,B,8,194,26.01503759,42026,5,0.491,0.664,0.173
319,C,8,195,13.45177665,42026,5,0.681,0.787,0.106
320,D,8,196,37.07865169,42026,5,0.391,0.622,0.231
321,E,8,197,19.31330472,42026,5,0.751,0.931,0.18
322,F,8,198,26.25899281,42026,5,0.409,0.555,0.146
323,G,8,199,37.36654804,42026,5,0.175,0.28,0.105
324,H,8,200,14.11764706,42026,5,0.364,0.424,0.06
325,A,10,P721Q,29.78723404,42026,5,0.395,0.563,0.168
326,B,10,194,15.46275395,42026,5,0.748,0.885,0.137
327,C,10,195,10.74498567,42026,5,0.622,0.697,0.075
328,D,10,196,26.80555556,42026,5,0.526,0.719,0.193
329,E,10,197,14.60869565,42026,5,0.981,1.149,0.168
330,F,10,198,16.80851064,42026,5,0.39,0.469,0.079
331,G,10,199,34.375,42026,5,0.125,0.191,0.066
332,H,10,200,27.14932127,42026,5,0.321,0.441,0.12
333,B,12,194,10.2685624,42026,5,0.567,0.632,0.065
334,C,12,195,10.43046358,42026,5,0.54,0.603,0.063
335,D,12,196,18.48275862,42026,5,0.59,0.724,0.134
336,E,12,197,11.53039832,42026,5,0.843,0.953,0.11
337,F,12,198,20.46035806,42026,5,0.31,0.39,0.08
338,G,12,199,17.08074534,42026,5,0.266,0.321,0.055
339,H,12,200,20.3539823,42026,5,0.359,0.451,0.092
340,A,2,201,12.06395349,42026,6,0.605,0.688,0.083
341,B,2,202,10.91113611,42026,6,0.792,0.889,0.097
342,C,2,203,6.26223092,42026,6,0.958,1.022,0.064
343,D,2,204,7.078039927,42026,6,0.512,0.551,0.039
344,E,2,205,33.41176471,42026,6,0.283,0.425,0.142
345,F,2,206,10.76555024,42026,6,0.746,0.836,0.09
346,G,2,207,12.5,42026,6,0.35,0.4,0.05
347,H,2,208,22.83018868,42026,6,0.409,0.53,0.121
348,A,4,201,13.71681416,42026,6,0.585,0.678,0.093
349,B,4,202,38.72340426,42026,6,0.576,0.94,0.364
350,C,4,203,9.080590238,42026,6,0.801,0.881,0.08
351,D,4,204,6.148867314,42026,6,0.58,0.618,0.038
352,E,4,205,41.92139738,42026,6,0.266,0.458,0.192
353,F,4,206,4.689480355,42026,6,0.752,0.789,0.037
354,G,4,207,17.29490022,42026,6,0.373,0.451,0.078
355,H,4,208,20.49180328,42026,6,0.388,0.488,0.1
356,A,6,201,12.67857143,42026,6,0.489,0.56,0.071
357,B,6,202,18.37837838,42026,6,0.604,0.74,0.136
358,C,6,203,4.817708333,42026,6,0.731,0.768,0.037
359,D,6,204,14.04494382,42026,6,0.459,0.534,0.075
360,E,6,205,38.68778281,42026,6,0.271,0.442,0.171
361,F,6,206,8.26873385,42026,6,0.71,0.774,0.064
362,G,6,207,20.93541203,42026,6,0.355,0.449,0.094
363,H,6,208,17.30382294,42026,6,0.411,0.497,0.086
364,A,8,Tx623,8.996539792,42026,6,0.526,0.578,0.052
365,B,8,209,2.807017544,42026,6,0.277,0.285,0.008
366,C,8,210,16.2464986,42026,6,0.299,0.357,0.058
367,D,8,211,22.81303602,42026,6,0.45,0.583,0.133
368,E,8,212,1.282051282,42026,6,0.539,0.546,0.007
369,F,8,213,10,42026,6,0.522,0.58,0.058
370,G,8,214,18.39323467,42026,6,0.386,0.473,0.087
371,H,8,215,6.060606061,42026,6,0.31,0.33,0.02
372,A,10,P721Q,26.34482759,42026,6,0.534,0.725,0.191
373,B,10,209,12.14953271,42026,6,0.282,0.321,0.039
374,C,10,210,17.9558011,42026,6,0.297,0.362,0.065
375,D,10,211,11.2324493,42026,6,0.569,0.641,0.072
376,F,10,213,13.03680982,42026,6,0.567,0.652,0.085
377,G,10,214,30.39443155,42026,6,0.3,0.431,0.131
378,B,12,209,18.48739496,42026,6,0.291,0.357,0.066
379,C,12,210,17.67955801,42026,6,0.298,0.362,0.064
380,D,12,211,6.518518519,42026,6,0.631,0.675,0.044
381,E,12,212,3.993344426,42026,6,0.577,0.601,0.024
382,F,12,213,13.74172185,42026,6,0.521,0.604,0.083
383,G,12,214,18.03652968,42026,6,0.359,0.438,0.079
384,H,12,215,2.81030445,42026,6,0.415,0.427,0.012
385,A,2,216,28.37528604,42027,7,0.313,0.437,0.124
386,B,2,217,8.080808081,42027,7,0.637,0.693,0.056
387,C,2,218,4.15860735,42027,7,0.991,1.034,0.043
388,D,2,219,18.11764706,42027,7,0.696,0.85,0.154
389,E,2,220,7.486631016,42027,7,0.865,0.935,0.07
390,F,2,221,0.378071834,42027,7,0.527,0.529,0.002
391,G,2,222,18.75968992,42027,7,0.524,0.645,0.121
392,H,2,223,24.10015649,42027,7,0.485,0.639,0.154
393,A,4,216,28.67298578,42027,7,0.301,0.422,0.121
394,B,4,217,17.59082218,42027,7,0.431,0.523,0.092
395,C,4,218,12.26508408,42027,7,0.887,1.011,0.124
396,D,4,219,10.63348416,42027,7,0.79,0.884,0.094
397,F,4,221,5.524861878,42027,7,0.513,0.543,0.03
398,G,4,222,19.66527197,42027,7,0.576,0.717,0.141
399,H,4,223,19.06614786,42027,7,0.624,0.771,0.147
400,A,6,216,24.56479691,42027,7,0.39,0.517,0.127
401,B,6,217,8.288288288,42027,7,0.509,0.555,0.046
402,C,6,218,6.224489796,42027,7,0.919,0.98,0.061
403,D,6,219,16.3961039,42027,7,0.515,0.616,0.101
404,E,6,220,4.418103448,42027,7,0.887,0.928,0.041
405,F,6,221,11.12759644,42027,7,0.599,0.674,0.075
406,G,6,222,18.80733945,42027,7,0.531,0.654,0.123
407,H,6,223,22.15088283,42027,7,0.485,0.623,0.138
408,A,8,Tx623,12.76923077,42027,7,0.567,0.65,0.083
409,B,8,224,10.26785714,42027,7,0.603,0.672,0.069
410,C,8,225,22.5177305,42027,7,0.437,0.564,0.127
411,D,8,226,17.95774648,42027,7,0.233,0.284,0.051
412,E,8,227,18.34710744,42027,7,0.494,0.605,0.111
413,F,8,228,14.28571429,42027,7,0.402,0.469,0.067
414,G,8,229,33.0078125,42027,7,0.343,0.512,0.169
415,H,8,230,25.33632287,42027,7,0.333,0.446,0.113
416,A,10,P721Q,25.23219814,42027,7,0.483,0.646,0.163
417,B,10,224,8.767123288,42027,7,0.666,0.73,0.064
418,C,10,225,19.15285451,42027,7,0.439,0.543,0.104
419,D,10,226,26.8370607,42027,7,0.229,0.313,0.084
420,E,10,227,18.03278689,42027,7,0.45,0.549,0.099
421,F,10,228,16.97722567,42027,7,0.401,0.483,0.082
422,G,10,229,39.03508772,42027,7,0.278,0.456,0.178
423,H,10,230,14.60101868,42027,7,0.503,0.589,0.086
424,B,12,224,11.59600998,42027,7,0.709,0.802,0.093
425,C,12,225,28.05507745,42027,7,0.418,0.581,0.163
426,D,12,226,25.85751979,42027,7,0.281,0.379,0.098
427,E,12,227,21.06824926,42027,7,0.532,0.674,0.142
428,F,12,228,19.15789474,42027,7,0.384,0.475,0.091
429,G,12,229,42.44444444,42027,7,0.259,0.45,0.191
430,H,12,230,20.29288703,42027,7,0.381,0.478,0.097
431,B,2,232,12.59398496,42027,8,0.93,1.064,0.134
432,C,2,233,20.38946163,42027,8,0.695,0.873,0.178
433,D,2,234,12.30366492,42027,8,0.67,0.764,0.094
434,E,2,235,22.09944751,42027,8,0.282,0.362,0.08
435,F,2,236,12.33108108,42027,8,0.519,0.592,0.073
436,G,2,237,32.10161663,42027,8,0.294,0.433,0.139
437,H,2,238,13.51851852,42027,8,0.467,0.54,0.073
438,B,4,232,11.21794872,42027,8,0.831,0.936,0.105
439,C,4,233,20.28985507,42027,8,0.44,0.552,0.112
440,D,4,234,18.36734694,42027,8,0.64,0.784,0.144
441,E,4,235,14.07407407,42027,8,0.232,0.27,0.038
442,F,4,236,12.36749117,42027,8,0.496,0.566,0.07
443,G,4,237,34.44730077,42027,8,0.255,0.389,0.134
444,H,4,238,20.66549912,42027,8,0.453,0.571,0.118
445,B,6,232,8.203125,42027,8,0.94,1.024,0.084
446,C,6,233,16.82389937,42027,8,0.529,0.636,0.107
